feature,importance
dst_bytes,0.0406269053382996
dst_host_srv_count,0.027283505319527456
count,0.0254027246319838
service,0.02340331880349778
srv_count,0.021951623495938332
logged_in,0.01985180133674997
dst_host_serror_rate,0.019022873522686355
flag,0.018961209068651654
same_srv_rate,0.016770659424431424
diff_srv_rate,0.01539544551025927
dst_host_diff_srv_rate,0.013751099226902682
dst_host_same_src_port_rate,0.013615796335250953
duration,0.013331775687375924
serror_rate,0.01332368152081399
dst_host_same_srv_rate,0.012954350980947646
dst_host_rerror_rate,0.012112497576253696
srv_serror_rate,0.01182435656511117
protocol_type,0.010690276195846612
dst_host_count,0.009898793752111223
src_bytes,0.009805179401206954
dst_host_srv_diff_host_rate,0.007692848169326145
dst_host_srv_serror_rate,0.00661717659756452
srv_diff_host_rate,0.006576610540354269
hot,0.00625523936230589
dst_host_srv_rerror_rate,0.005699445427089936
rerror_rate,0.005532344998856422
is_guest_login,0.005320086366414471
num_compromised,0.004461137088770272
srv_rerror_rate,0.004302881108737381
root_shell,0.003254286967374564
num_file_creations,0.0032323637384204444
num_failed_logins,0.0025950686401356757
wrong_fragment,0.0012028030876456966
num_root,0.0007852241360938958
num_shells,0.0005048235889388656
num_access_files,0.00016629539233919006
is_host_login,0.00014184719265204675
urgent,0.00010590870216790202
su_attempted,2.6099773331574222e-05
land,1.9436274780569336e-05
